situacao_na_venda,val_avaliacao,segmento,UF,Tipo_de_imovel,dias_ate_ser_vendido
0,31000.0,1,8,11,1554
1,34000.0,2,1,1,1374
0,32000.0,1,8,11,1435
1,35000.0,1,9,1,109
0,31000.0,2,24,11,1568
1,35000.0,2,8,11,966
0,33000.0,1,8,11,1822
0,31983.0,2,15,1,1296
0,32680.0,2,15,0,1374
1,34250.0,0,24,11,1743
0,33600.0,2,15,0,1747
1,39000.0,1,24,1,1774
0,36000.0,1,8,1,1535
0,32680.0,0,15,0,1374
0,35000.0,2,18,11,1374
0,35500.0,2,15,0,1375
0,35700.0,2,15,1,1374
1,36893.0,0,17,7,1614
1,41000.0,2,25,0,1374
1,41100.0,2,15,0,1374
1,42000.0,1,10,11,1803
0,38500.0,1,19,1,457
0,38500.0,1,8,1,1296
1,38000.0,0,18,0,1374
0,39200.0,1,8,1,1771
0,35100.0,0,15,0,1296
0,39752.15,1,19,1,457
0,38000.0,2,19,11,1725
0,38200.0,2,8,1,1794
0,38384.0,2,15,0,1374
0,38384.0,2,15,0,1374
0,38384.0,2,15,0,1374
0,41000.0,1,8,11,1309
0,39000.0,2,24,1,1303
0,39000.0,2,19,11,652
1,40400.0,0,17,7,1618
0,39500.0,2,15,0,1375
0,37250.0,0,15,0,1374
1,41000.0,0,17,7,1618
0,40000.0,2,15,0,1374
0,40000.0,2,15,0,1374
1,41600.0,0,24,11,1655
1,46000.0,2,10,1,1296
0,40500.0,2,15,0,639
1,46213.4,2,25,0,1374
1,46300.0,2,4,1,1374
0,43000.0,1,16,1,1736
0,41300.0,2,8,1,1296
0,44000.0,1,8,1,968
1,49105.05,1,15,1,1316
0,40000.0,0,15,0,1374
0,45000.0,1,8,1,1582
1,49030.0,2,15,0,1374
1,50000.0,1,1,1,1586
0,40400.0,0,17,7,1618
0,40500.0,0,15,0,1375
0,46000.0,1,19,1,1813
1,51000.0,2,18,1,142
1,46141.3,0,18,11,1563
1,51500.0,2,24,1,1536
0,45000.0,2,18,11,99
1,47000.0,0,1,11,1688
1,53000.0,1,1,1,107
1,53470.0,1,8,1,1750
0,49000.0,1,13,1,186
1,53706.0,2,13,1,1296
1,55000.0,1,19,1,228
1,54050.0,2,15,1,64
1,49000.0,0,17,7,1614
1,55000.0,2,19,1,1760
1,56000.0,1,19,1,410
1,56500.0,1,10,1,1677
1,56500.0,1,19,1,457
0,48400.0,2,8,1,1705
1,50230.7,0,13,11,1360
1,57000.0,1,24,1,1529
1,57000.0,1,15,1,1736
1,57000.0,1,19,1,1554
1,56000.0,2,18,0,1374
1,56000.0,2,25,0,1374
