ID;situacao_na_venda;val_avaliacao;segmento;UF;Tipo_de_imovel;dias_ate_ser_vendido;Desconto;;;
659876424;Desocupado; R$ 31.000,00 ;B;GO;Terreno;1554;72,63%;;;
270079736;Ocupado; R$ 34.000,00 ;C;AL;Casa;1374;72,31%;;;
368746970;Desocupado; R$ 32.000,00 ;B;GO;Terreno;1435;70,50%;;;
786895130;Ocupado; R$ 35.000,00 ;B;MA;Casa;109;62,57%;;;
522418077;Desocupado; R$ 31.000,00 ;C;SE;Terreno;1568;69,76%;;;
398056731;Ocupado; R$ 35.000,00 ;C;GO;Terreno;966;68,32%;;;
732953211;Desocupado; R$ 33.000,00 ;B;GO;Terreno;1822;72,64%;;;
365839250;Desocupado; R$ 31.983,00 ;C;PE;Casa;1296;66,31%;;;
786729091;Desocupado; R$ 32.680,00 ;C;PE;Apartamento;1374;66,22%;;;
853643871;Ocupado; R$ 34.250,00 ;A;SE;Terreno;1743;69,58%;;;
289245126;Desocupado; R$ 33.600,00 ;C;PE;Apartamento;1747;68,28%;;;
361738514;Ocupado; R$ 39.000,00 ;B;SE;Casa;1774;72,21%;;;
852291324;Desocupado; R$ 36.000,00 ;B;GO;Casa;1535;67,48%;;;
321913858;Desocupado; R$ 32.680,00 ;A;PE;Apartamento;1374;62,06%;;;
757953894;Desocupado; R$ 35.000,00 ;C;RJ;Terreno;1374;63,95%;;;
59485214;Desocupado; R$ 35.500,00 ;C;PE;Apartamento;1375;63,51%;;;
503934735;Desocupado; R$ 35.700,00 ;C;PE;Casa;1374;63,32%;;;
308892599;Ocupado; R$ 36.893,00 ;A;PR;Outros;1614;66,16%;;;
63264877;Ocupado; R$ 41.000,00 ;C;SP;Apartamento;1374;67,29%;;;
403772962;Ocupado; R$ 41.100,00 ;C;PE;Apartamento;1374;67,23%;;;
885826683;Ocupado; R$ 42.000,00 ;B;MG;Terreno;1803;70,40%;;;
317026430;Desocupado; R$ 38.500,00 ;B;RN;Casa;457;57,92%;;;
892734026;Desocupado; R$ 38.500,00 ;B;GO;Casa;1296;63,80%;;;
545964558;Ocupado; R$ 38.000,00 ;A;RJ;Apartamento;1374;63,54%;;;
529765086;Desocupado; R$ 39.200,00 ;B;GO;Casa;1771;66,59%;;;
956327135;Desocupado; R$ 35.100,00 ;A;PE;Apartamento;1296;58,96%;;;
124512307;Desocupado; R$ 39.752,15 ;B;RN;Casa;457;57,25%;;;
814837562;Desocupado; R$ 38.000,00 ;C;RN;Terreno;1725;63,92%;;;
688877143;Desocupado; R$ 38.200,00 ;C;GO;Casa;1794;64,24%;;;
34404069;Desocupado; R$ 38.384,00 ;C;PE;Apartamento;1374;61,13%;;;
262750819;Desocupado; R$ 38.384,00 ;C;PE;Apartamento;1374;61,13%;;;
856320189;Desocupado; R$ 38.384,00 ;C;PE;Apartamento;1374;61,13%;;;
772123313;Desocupado; R$ 41.000,00 ;B;GO;Terreno;1309;62,23%;;;
144243941;Desocupado; R$ 39.000,00 ;C;SE;Casa;1303;60,18%;;;
577741398;Desocupado; R$ 39.000,00 ;C;RN;Terreno;652;55,67%;;;
356849263;Ocupado; R$ 40.400,00 ;A;PR;Outros;1618;63,47%;;;
529508829;Desocupado; R$ 39.500,00 ;C;PE;Apartamento;1375;60,31%;;;
570180690;Desocupado; R$ 37.250,00 ;A;PE;Apartamento;1374;57,60%;;;
128951497;Ocupado; R$ 41.000,00 ;A;PR;Outros;1618;63,06%;;;
91426256;Desocupado; R$ 40.000,00 ;C;PE;Apartamento;1374;59,95%;;;
791417483;Desocupado; R$ 40.000,00 ;C;PE;Apartamento;1374;59,95%;;;
87850475;Ocupado; R$ 41.600,00 ;A;SE;Terreno;1655;62,89%;;;
605305849;Ocupado; R$ 46.000,00 ;C;MG;Casa;1296;64,19%;;;
795643645;Desocupado; R$ 40.500,00 ;C;PE;Apartamento;639;54,71%;;;
866967716;Ocupado; R$ 46.213,40 ;C;SP;Apartamento;1374;64,54%;;;
706791180;Ocupado; R$ 46.300,00 ;C;BA;Casa;1374;64,50%;;;
840110950;Desocupado; R$ 43.000,00 ;B;PI;Casa;1736;63,72%;;;
523244035;Desocupado; R$ 41.300,00 ;C;GO;Casa;1296;58,56%;;;
361459253;Desocupado; R$ 44.000,00 ;B;GO;Casa;968;58,39%;;;
150934488;Ocupado; R$ 49.105,05 ;B;PE;Casa;1316;63,93%;;;
203655493;Desocupado; R$ 40.000,00 ;A;PE;Apartamento;1374;55,41%;;;
476246697;Desocupado; R$ 45.000,00 ;B;GO;Casa;1582;61,59%;;;
940719757;Ocupado; R$ 49.030,00 ;C;PE;Apartamento;1374;63,30%;;;
435684683;Ocupado; R$ 50.000,00 ;B;AL;Casa;1586;65,03%;;;
823430739;Desocupado; R$ 40.400,00 ;A;PR;Outros;1618;56,75%;;;
863445106;Desocupado; R$ 40.500,00 ;A;PE;Apartamento;1375;55,05%;;;
520146518;Desocupado; R$ 46.000,00 ;B;RN;Casa;1813;62,40%;;;
648199014;Ocupado; R$ 51.000,00 ;C;RJ;Casa;142;55,99%;;;
846068167;Ocupado; R$ 46.141,30 ;A;RJ;Terreno;1563;59,60%;;;
407295503;Ocupado; R$ 51.500,00 ;C;SE;Casa;1536;63,18%;;;
864646833;Desocupado; R$ 45.000,00 ;C;RJ;Terreno;99;49,19%;;;
21639955;Ocupado; R$ 47.000,00 ;A;AL;Terreno;1688;59,87%;;;
782221699;Ocupado; R$ 53.000,00 ;B;AL;Casa;107;56,32%;;;
633846549;Ocupado; R$ 53.470,00 ;B;GO;Casa;1750;64,51%;;;
240363080;Desocupado; R$ 49.000,00 ;B;PA;Casa;186;51,86%;;;
741167082;Ocupado; R$ 53.706,00 ;C;PA;Casa;1296;61,14%;;;
118159394;Ocupado; R$ 55.000,00 ;B;RN;Casa;228;56,47%;;;
903550466;Ocupado; R$ 54.050,00 ;C;PE;Casa;64;54,87%;;;
815384421;Ocupado; R$ 49.000,00 ;A;PR;Outros;1614;58,44%;;;
973192062;Ocupado; R$ 55.000,00 ;C;RN;Casa;1760;62,99%;;;
713909699;Ocupado; R$ 56.000,00 ;B;RN;Casa;410;57,13%;;;
600006236;Ocupado; R$ 56.500,00 ;B;MG;Casa;1677;63,07%;;;
673204410;Ocupado; R$ 56.500,00 ;B;RN;Casa;457;57,24%;;;
104401534;Desocupado; R$ 48.400,00 ;C;GO;Casa;1705;56,94%;;;
420920062;Ocupado; R$ 50.230,70 ;A;PA;Terreno;1360;56,50%;;;
68318624;Ocupado; R$ 57.000,00 ;B;SE;Casa;1529;62,20%;;;
426786282;Ocupado; R$ 57.000,00 ;B;PE;Casa;1736;63,19%;;;
973391294;Ocupado; R$ 57.000,00 ;B;RN;Casa;1554;62,32%;;;
453054401;Ocupado; R$ 56.000,00 ;C;RJ;Apartamento;1374;60,77%;;;
746959771;Ocupado; R$ 56.000,00 ;C;SP;Apartamento;1374;60,77%;;;
859761835;Ocupado; R$ 56.000,00 ;C;CE;Casa;1687;62,28%;;;
860066432;Ocupado; R$ 56.000,00 ;C;SP;Casa;1374;60,77%;;;
325178422;Desocupado; R$ 48.804,00 ;C;PE;Apartamento;1374;54,90%;;;
619679796;Ocupado; R$ 57.322,60 ;B;PI;Casa;1429;61,63%;;;
880638741;Desocupado; R$ 49.000,00 ;C;GO;Casa;1676;56,47%;;;
498421737;Ocupado; R$ 50.744,80 ;A;PR;Outros;1618;57,66%;;;
128732475;Ocupado; R$ 51.000,00 ;A;PR;Outros;1618;57,54%;;;
243966760;Ocupado; R$ 51.000,00 ;A;PR;Outros;1618;57,54%;;;
98118468;Ocupado; R$ 58.000,00 ;B;PI;Casa;655;57,83%;;;
883731549;Ocupado; R$ 57.200,00 ;C;PA;Casa;1563;61,29%;;;
272571110;Desocupado; R$ 53.000,00 ;B;GO;Casa;65;50,09%;;;
378802051;Ocupado; R$ 57.700,00 ;C;PI;Casa;1562;61,12%;;;
155512459;Ocupado; R$ 59.000,00 ;B;PI;Casa;1365;60,84%;;;
757467825;Ocupado; R$ 59.000,00 ;B;PA;Casa;1543;61,66%;;;
771037809;Ocupado; R$ 59.000,00 ;B;PA;Casa;1323;60,65%;;;
483788076;Ocupado; R$ 58.000,00 ;C;PE;Casa;1296;59,79%;;;
616430368;Desocupado; R$ 50.508,01 ;C;RN;Casa;1808;56,45%;;;
427784287;Ocupado; R$ 59.274,61 ;B;PE;Casa;1584;61,76%;;;
425155444;Desocupado; R$ 50.802,19 ;C;RN;Casa;1379;54,03%;;;
515764738;Desocupado; R$ 51.000,00 ;C;PE;Apartamento;1374;53,91%;;;
889147184;Desocupado; R$ 54.000,00 ;B;GO;Casa;1543;57,23%;;;
709678575;Ocupado; R$ 53.000,00 ;A;RJ;Terreno;1432;55,74%;;;
29390884;Ocupado; R$ 60.000,00 ;B;PE;Casa;105;54,90%;;;
79577374;Ocupado; R$ 60.000,00 ;B;MG;Casa;1401;60,73%;;;
235908822;Ocupado; R$ 60.000,00 ;B;MG;Casa;154;55,12%;;;
269758327;Ocupado; R$ 60.000,00 ;B;GO;Casa;1401;60,73%;;;
670538884;Ocupado; R$ 60.000,00 ;B;MG;Casa;1634;61,78%;;;
610212669;Ocupado; R$ 58.939,55 ;C;SE;Casa;1555;60,71%;;;
522981602;Ocupado; R$ 59.000,00 ;C;PE;Casa;1612;60,95%;;;
697243819;Ocupado; R$ 59.000,00 ;C;GO;Casa;1743;61,55%;;;
968706231;Ocupado; R$ 59.000,00 ;C;PA;Casa;290;54,90%;;;
556311561;Desocupado; R$ 48.000,00 ;A;AL;Terreno;302;44,43%;;;
42109868;Ocupado; R$ 53.276,16 ;A;RJ;Terreno;1554;56,25%;;;
334871379;Ocupado; R$ 60.816,11 ;B;PI;Casa;1736;61,99%;;;
630232302;Desocupado; R$ 55.000,00 ;B;RN;Casa;1387;56,09%;;;
75225686;Ocupado; R$ 61.000,00 ;B;CE;Apartamento;115;54,76%;;;
383642272;Ocupado; R$ 61.000,00 ;B;PI;Casa;655;57,15%;;;
499280218;Ocupado; R$ 61.000,00 ;B;PA;Casa;1548;61,11%;;;
540145597;Ocupado; R$ 61.000,00 ;B;CE;Casa;1318;60,09%;;;
780338684;Ocupado; R$ 61.000,00 ;B;MG;Casa;1624;61,44%;;;
888104231;Ocupado; R$ 61.000,00 ;B;PA;Casa;1711;61,83%;;;
954514427;Ocupado; R$ 59.900,00 ;C;SE;Casa;189;54,26%;;;
759306667;Ocupado; R$ 61.500,00 ;B;CE;Casa;459;56,19%;;;
790938084;Ocupado; R$ 60.605,37 ;C;BA;Casa;708;56,45%;;;
728873257;Ocupado; R$ 60.652,85 ;C;PE;Casa;1401;59,52%;;;
31300275;Ocupado; R$ 62.000,00 ;B;RN;Casa;130;54,66%;;;
445410887;Ocupado; R$ 62.000,00 ;B;PA;Casa;1675;61,39%;;;
104464270;Ocupado; R$ 61.000,00 ;C;SE;Casa;1617;60,38%;;;
329875652;Ocupado; R$ 61.000,00 ;C;RN;Casa;1768;61,05%;;;
341675546;Ocupado; R$ 61.000,00 ;C;CE;Casa;1374;59,31%;;;
589278512;Ocupado; R$ 61.000,00 ;C;PE;Casa;1407;59,45%;;;
897836796;Ocupado; R$ 61.000,00 ;C;RJ;Casa;1374;59,31%;;;
256402660;Desocupado; R$ 53.000,00 ;C;GO;Casa;1771;55,11%;;;
185306826;Ocupado; R$ 55.000,00 ;A;PR;Outros;1618;55,90%;;;
531169612;Ocupado; R$ 62.400,00 ;B;AL;Casa;116;54,53%;;;
38591470;Ocupado; R$ 62.500,00 ;B;SE;Casa;1520;60,58%;;;
570988147;Ocupado; R$ 61.613,53 ;C;MG;Casa;232;54,14%;;;
535685703;Desocupado; R$ 50.000,00 ;A;MG;Terreno;1556;50,45%;;;
792222422;Ocupado; R$ 63.000,00 ;B;PA;Casa;115;54,43%;;;
797709228;Ocupado; R$ 62.000,00 ;C;RN;Casa;917;57,05%;;;
578382616;Ocupado; R$ 63.300,00 ;B;PI;Casa;655;56,68%;;;
804976446;Ocupado; R$ 63.359,29 ;B;PA;Casa;1775;61,45%;;;
553497022;Desocupado; R$ 54.000,00 ;C;GO;Casa;148;46,57%;;;
81702600;Ocupado; R$ 63.584,28 ;B;PA;Casa;1628;60,76%;;;
107259594;Ocupado; R$ 64.000,00 ;B;RN;Casa;189;54,58%;;;
173133961;Ocupado; R$ 64.000,00 ;B;MG;Casa;1432;59,83%;;;
289140185;Ocupado; R$ 64.000,00 ;B;RN;Casa;226;54,74%;;;
368453633;Ocupado; R$ 64.000,00 ;B;MG;Casa;1803;61,39%;;;
716624030;Ocupado; R$ 64.000,00 ;B;MG;Casa;1654;60,76%;;;
838072515;Ocupado; R$ 64.000,00 ;B;RN;Casa;424;55,57%;;;
844154354;Ocupado; R$ 64.000,00 ;B;CE;Casa;1296;59,25%;;;
453031368;Ocupado; R$ 63.000,00 ;C;RN;Casa;1761;60,44%;;;
508148361;Ocupado; R$ 63.000,00 ;C;GO;Casa;1374;58,79%;;;
675811776;Ocupado; R$ 63.000,00 ;C;RN;Casa;1785;60,55%;;;
597308431;Ocupado; R$ 64.200,00 ;B;PA;Casa;1619;60,56%;;;
651627479;Desocupado; R$ 58.000,00 ;B;CE;Casa;1613;56,13%;;;
233995211;Ocupado; R$ 64.455,01 ;B;PE;Casa;1708;60,87%;;;
801474832;Ocupado; R$ 64.500,00 ;B;SE;Casa;1404;59,59%;;;
370233151;Ocupado; R$ 63.423,27 ;C;PE;Casa;424;54,64%;;;
453305346;Ocupado; R$ 57.000,00 ;A;GO;Terreno;1425;54,25%;;;
341324557;Ocupado; R$ 64.700,00 ;B;PA;Casa;1585;60,29%;;;
868131305;Ocupado; R$ 65.000,00 ;B;PA;Casa;1656;60,52%;;;
983062149;Ocupado; R$ 65.000,00 ;B;PA;Casa;1680;60,61%;;;
206999229;Ocupado; R$ 64.000,00 ;C;RJ;Apartamento;1374;58,54%;;;
679950731;Ocupado; R$ 65.400,00 ;B;PE;Casa;1733;60,73%;;;
953951006;Desocupado; R$ 52.000,00 ;A;MG;Terreno;1618;49,82%;;;
188818152;Ocupado; R$ 64.500,00 ;C;GO;Casa;625;55,28%;;;
204023621;Ocupado; R$ 65.800,00 ;B;BA;Casa;87;53,88%;;;
585239703;Ocupado; R$ 65.863,39 ;B;PA;Casa;931;57,33%;;;
38986579;Ocupado; R$ 64.700,00 ;C;PA;Casa;1584;59,25%;;;
172036602;Ocupado; R$ 66.000,00 ;B;PI;Casa;1673;60,34%;;;
174882792;Ocupado; R$ 66.000,00 ;B;PA;Casa;1555;59,85%;;;
512919287;Ocupado; R$ 66.000,00 ;B;RN;Casa;177;54,22%;;;
628833462;Ocupado; R$ 66.000,00 ;B;PE;Casa;1660;60,28%;;;
220815313;Ocupado; R$ 66.240,00 ;B;PA;Casa;1555;59,80%;;;
42527816;Desocupado; R$ 59.650,00 ;B;MG;Casa;121;48,84%;;;
442748992;Ocupado; R$ 66.274,09 ;B;RN;Casa;457;55,32%;;;
275557470;Ocupado; R$ 66.474,51 ;B;AM;Casa;1779;60,65%;;;
986252781;Ocupado; R$ 66.474,51 ;B;AM;Casa;1779;60,65%;;;
601027470;Ocupado; R$ 66.500,00 ;B;PA;Casa;1673;60,22%;;;
672812340;Ocupado; R$ 66.500,00 ;B;PA;Casa;182;54,16%;;;
555780613;Ocupado; R$ 65.290,66 ;C;SP;Terreno;597;55,02%;;;
838892202;Desocupado; R$ 59.900,00 ;B;RN;Casa;1617;55,53%;;;
272226753;Desocupado; R$ 60.000,00 ;B;GO;Casa;1771;56,19%;;;
462389404;Desocupado; R$ 60.000,00 ;B;MG;Casa;1794;56,30%;;;
10994024;Ocupado; R$ 67.000,00 ;B;RN;Casa;1318;58,67%;;;
141883147;Ocupado; R$ 67.000,00 ;B;RN;Casa;1684;60,14%;;;
218709915;Ocupado; R$ 67.000,00 ;B;RN;Casa;246;54,35%;;;
263744019;Ocupado; R$ 67.000,00 ;B;PI;Casa;1702;60,21%;;;
570534930;Ocupado; R$ 67.000,00 ;B;PI;Casa;655;55,99%;;;
905215098;Ocupado; R$ 67.000,00 ;B;PA;Casa;1744;60,38%;;;
908167199;Ocupado; R$ 67.000,00 ;B;AL;Casa;1296;58,58%;;;
965045828;Ocupado; R$ 67.000,00 ;B;RN;Casa;1241;58,36%;;;
131670358;Desocupado; R$ 60.500,00 ;B;GO;Casa;1583;55,19%;;;
9290899;Ocupado; R$ 66.000,00 ;C;RN;Casa;1662;59,24%;;;
165585355;Ocupado; R$ 66.000,00 ;C;SE;Casa;1303;57,77%;;;
220189613;Ocupado; R$ 66.000,00 ;C;PA;Casa;213;53,32%;;;
344699814;Ocupado; R$ 66.000,00 ;C;AL;Casa;1296;57,75%;;;
494327463;Ocupado; R$ 66.000,00 ;C;GO;Casa;1296;57,75%;;;
579206906;Ocupado; R$ 66.000,00 ;C;RN;Casa;284;53,61%;;;
881325192;Ocupado; R$ 67.266,66 ;B;PA;Casa;1563;59,59%;;;
295387548;Ocupado; R$ 67.500,00 ;B;PA;Casa;1554;59,50%;;;
876266531;Ocupado; R$ 67.568,65 ;B;RJ;Casa;1554;59,49%;;;
495912586;Ocupado; R$ 67.726,13 ;B;PI;Casa;1681;59,96%;;;
364924377;Desocupado; R$ 60.980,18 ;B;RN;Casa;1617;55,20%;;;
391820776;Desocupado; R$ 61.000,00 ;B;GO;Terreno;1296;53,77%;;;
753708092;Desocupado; R$ 61.000,00 ;B;RN;Casa;1740;55,73%;;;
604383756;Ocupado; R$ 66.554,40 ;C;PI;Casa;1736;59,41%;;;
331615341;Ocupado; R$ 68.000,00 ;B;RN;Casa;1613;59,62%;;;
581311622;Ocupado; R$ 68.000,00 ;B;PI;Casa;1681;59,89%;;;
630310770;Ocupado; R$ 68.000,00 ;B;PI;Casa;1732;60,10%;;;
612942755;Ocupado; R$ 68.076,49 ;B;PI;Casa;1736;60,09%;;;
475492571;Ocupado; R$ 67.000,00 ;C;RN;Casa;1793;59,53%;;;
738959249;Ocupado; R$ 67.000,00 ;C;RN;Casa;1556;58,57%;;;
842592864;Ocupado; R$ 67.000,00 ;C;RJ;Apartamento;1619;58,83%;;;
97772878;Ocupado; R$ 68.310,00 ;B;BA;Casa;1535;59,25%;;;
750881024;Ocupado; R$ 68.424,18 ;B;AM;Casa;1555;59,30%;;;
549002982;Ocupado; R$ 68.424,80 ;B;AL;Casa;1613;59,53%;;;
403735542;Ocupado; R$ 67.200,00 ;C;SE;Casa;1561;58,55%;;;
890534192;Ocupado; R$ 68.500,00 ;B;PA;Casa;1775;60,15%;;;
305041396;Desocupado; R$ 62.000,00 ;B;GO;Casa;1564;54,66%;;;
555106827;Desocupado; R$ 62.000,00 ;B;MG;Casa;1803;55,70%;;;
147648990;Ocupado; R$ 69.000,00 ;B;BA;Casa;1562;59,20%;;;
311846269;Ocupado; R$ 69.000,00 ;B;SE;Casa;1142;57,56%;;;
912266529;Ocupado; R$ 69.000,00 ;B;MG;Casa;1526;59,06%;;;
90631032;Ocupado; R$ 61.000,00 ;A;MG;Terreno;60;46,94%;;;
106539884;Ocupado; R$ 68.000,00 ;C;PA;Casa;1768;59,18%;;;
283430385;Ocupado; R$ 68.000,00 ;C;RN;Casa;1561;58,36%;;;
498099146;Ocupado; R$ 68.000,00 ;C;PA;Casa;1549;58,32%;;;
570040025;Ocupado; R$ 68.000,00 ;C;PA;Casa;1568;58,39%;;;
614549116;Ocupado; R$ 68.000,00 ;C;GO;Casa;522;54,24%;;;
564737892;Ocupado; R$ 69.478,00 ;B;PI;Casa;1562;59,10%;;;
538802473;Ocupado; R$ 69.645,40 ;B;PA;Casa;1561;59,06%;;;
202743174;Ocupado; R$ 69.665,23 ;B;PI;Casa;1648;59,39%;;;
532201568;Ocupado; R$ 68.400,32 ;C;RN;Casa;1582;58,36%;;;
698688573;Ocupado; R$ 69.720,00 ;B;PI;Casa;1635;59,33%;;;
750734945;Ocupado; R$ 69.752,35 ;B;PA;Casa;1690;59,53%;;;
593772247;Ocupado; R$ 69.916,24 ;B;PA;Casa;1775;59,83%;;;
189522264;Ocupado; R$ 70.000,00 ;B;PI;Casa;1780;59,83%;;;
320493952;Ocupado; R$ 70.000,00 ;B;RN;Casa;1740;59,67%;;;
336813848;Ocupado; R$ 70.000,00 ;B;SE;Casa;1520;58,82%;;;
755671557;Ocupado; R$ 70.000,00 ;B;MG;Casa;458;54,73%;;;
815449712;Ocupado; R$ 70.000,00 ;B;RN;Casa;1582;59,06%;;;
912062533;Ocupado; R$ 70.000,00 ;B;RJ;Casa;1428;58,47%;;;
116581508;Desocupado; R$ 63.000,00 ;B;RN;Casa;1774;55,27%;;;
933519867;Desocupado; R$ 63.000,00 ;B;RN;Casa;1807;55,41%;;;
330474593;Ocupado; R$ 69.000,00 ;C;PE;Casa;1554;58,11%;;;
11983072;Desocupado; R$ 59.680,00 ;C;RN;Terreno;1801;52,65%;;;
65207073;Ocupado; R$ 71.000,00 ;B;RN;Casa;252;53,80%;;;
172422113;Ocupado; R$ 71.000,00 ;B;PI;Casa;1555;58,75%;;;
190843406;Ocupado; R$ 71.000,00 ;B;RN;Casa;1739;59,45%;;;
207421487;Ocupado; R$ 71.000,00 ;B;PE;Casa;1520;58,62%;;;
210674673;Ocupado; R$ 71.000,00 ;B;RN;Casa;457;54,58%;;;
238268064;Ocupado; R$ 71.000,00 ;B;RN;Casa;351;54,17%;;;
309665315;Ocupado; R$ 71.000,00 ;B;RN;Casa;147;53,40%;;;
435819117;Ocupado; R$ 71.000,00 ;B;BA;Casa;191;53,56%;;;
442505414;Ocupado; R$ 71.000,00 ;B;RN;Casa;1633;59,05%;;;
518038430;Ocupado; R$ 71.000,00 ;B;RN;Casa;1823;59,77%;;;
581487043;Ocupado; R$ 71.000,00 ;B;PE;Casa;1736;59,44%;;;
600766245;Ocupado; R$ 71.000,00 ;B;RN;Casa;1800;59,68%;;;
734432003;Ocupado; R$ 71.000,00 ;B;GO;Casa;1593;58,90%;;;
804387059;Ocupado; R$ 71.000,00 ;B;CE;Casa;1663;59,16%;;;
973767226;Ocupado; R$ 71.000,00 ;B;RN;Casa;130;53,33%;;;
985316658;Ocupado; R$ 71.000,00 ;B;PA;Casa;1647;59,10%;;;
796325507;Ocupado; R$ 71.089,66 ;B;PI;Casa;1736;59,42%;;;
652247532;Ocupado; R$ 71.500,00 ;B;RN;Casa;437;54,43%;;;
989493059;Ocupado; R$ 71.618,15 ;B;RN;Casa;457;54,49%;;;
